name,category,subcategory,recommendedSessionsWeekly,dailySessions,durationMin,durationMax,prerequisite,followUp
Dumbbell Training: Full Body Workout,Movement,Strength,2,24,10,20,,
Kettlebell Training: Strong Legs,Movement,Strength,2,24,10,20,,
Upper Body Workout,Movement,Strength,2,24,10,20,,
Dumbbell Training: Strong Arms,Movement,Strength,2,24,10,20,,
Strong Back,Movement,Strength,3,24,5,10,,
Leg Workout,Movement,Strength,2,24,10,20,,
Just how unhealthy is sitting?,Movement,Strength,1,5,1,5,,
Quiz: Movement II,Movement,Strength|Endurance|Weight Loss|Flexibility,1,5,1,5,Quiz: Movement,
Full Body Activation,Movement,Strength|Endurance,2,6,20,30,,
High-intensity interval training,Movement,Endurance,2,7,10,20,,
How to get started with running,Movement,Endurance,2,7,1,5,,
Boost Endurance,Movement,Endurance,2,24,10,20,,
Burn Calories,Movement,Weight Loss,2,24,10,20,,
Dumbbell Training: Burn Calories,Movement,Weight Loss,2,24,10,20,,
Exercise In Your Break,Movement,Flexibility,5,24,5,10,,
Stretch And Relax,Movement,Flexibility,4,24,5,10,,
Ease Your Stiff Neck,Movement,Flexibility,5,24,1,5,,
Relieve Your Mouse Elbow,Movement,Flexibility,5,24,1,5,,
Mobilise Your Shoulders,Movement,Flexibility,4,24,5,10,,
Stretch Your Legs,Movement,Flexibility,4,24,1,5,,
Hip Flexibility,Movement,Flexibility,4,24,5,10,,
Flexible Back,Movement,Flexibility,4,24,5,10,,
Ease Back Pain at the Office,Movement,Flexibility,4,24,1,5,,
Fascia Training,Movement,Flexibility,4,24,5,10,,
Supple through your day,Movement,Flexibility,7,7,10,20,,
Leg Stretches At The Office,Movement,Flexibility,4,24,1,5,,
"Sustainable, varied and healthy",Nutrition,Healthy Eating,2,6,1,5,,
Quiz: Nutrition,Nutrition,Healthy Eating|Weight Loss,1,6,1,5,,Quiz: Nutrition II
From the top of your head into the pot - Cooking without a recipe,Nutrition,Healthy Eating,2,6,1,5,,
The right breakfast,Nutrition,Healthy Eating,7,7,5,10,,
The perfect lunch,Nutrition,Healthy Eating,7,7,5,10,,
The balanced dinner,Nutrition,Healthy Eating,7,7,5,10,,
The right snacks,Nutrition,Healthy Eating,7,7,5,10,,
Food & Soul,Nutrition,Healthy Eating,3,7,1,5,,
Sugar: less is more,Nutrition,Healthy Eating,3,10,1,5,,
Healthy eating - A step-by-step guide,Nutrition,Healthy Eating,7,43,5,10,,
Nutrition for endurance training,Nutrition,Healthy Eating,2,5,1,5,,
Nutrition fr building muscles,Nutrition,Healthy Eating,2,5,1,5,,
Quiz: Nutrition II,Nutrition,Healthy Eating|Weight Loss,1,5,1,5,Quiz: Nutrition,
Less is more - enjoying meat more consciously,Nutrition,Healthy Eating,3,6,5,10,,
Intermittent fasting,Nutrition,Healthy Eating,3,8,5,10,,
Happy and Healthy,Nutrition,Healthy Eating,3,8,5,10,,
Eat better - Live lighter,Nutrition,Weight Loss,7,8,5,10,,
